code,label
<section><p>Paragraph</section>,error
<span>Text</span>,no_error
<button>Click,error
<h2>Heading,error
<ul><li>Item</ul>,error
<p>Welcome</p>,no_error
let x = ;,error
const name = ,error
let x = ;,error
for(let i=0;i<5;i++ { console.log(i); },error
<ul><li>Item</li></ul>,no_error
#title{text-align:center;,error
<div>Content</div>,no_error
<div>Content</div>,no_error
<button>Click</button>,no_error
<p>Welcome</p>,no_error
<div>Content</div>,no_error
<ul><li>Item</ul>,error
.box{padding:10px;},no_error
const name = ,error
if(true) console.log('ok',error
<span>Text</span>,no_error
<span>Text,error
<h1>Hello,error
<button>Click</button>,no_error
<p>Welcome,error
<ul><li>Item</ul>,error
"let arr=[1,2,3];",no_error
<ul><li>Item</li></ul>,no_error
<p>Welcome</p>,no_error
<section><p>Paragraph</section>,error
if(true) console.log('ok',error
function greet(){ return 'Hi'; },no_error
<h2>Heading,error
<div>Content,error
p{font-size:16px;},no_error
<button>Click</button>,no_error
<ul><li>Item</li></ul>,no_error
body{background:white;},no_error
<span>Text,error
<p>Welcome,error
<button>Click</button>,no_error
<h2>Heading,error
<section><p>Paragraph</section>,error
alert('Welcome');,no_error
<ul><li>Item</ul>,error
for(let i=0;i<5;i++ { console.log(i); },error
<p>Welcome</p>,no_error
<span>Text,error
<button>Click</button>,no_error
<button>Click</button>,no_error
<div>Content</div>,no_error
<section><p>Paragraph</section>,error
function greet( { return 'Hi'; },error
<h2>Heading,error
<h1>Hello,error
for(let i=0;i<5;i++){ console.log(i); },no_error
<table><tr><td>Data</tr></table>,error
p{font-size:16px;,error
"let arr=[1,2,3];",no_error
.box{padding:10px;},no_error
#title{text-align:center;,error
body{background:white;},no_error
h1{color:red;},no_error
<p>Welcome,error
let x = 10;,no_error
document.write('Hello',error
<section><p>Paragraph</section>,error
<span>Text,error
"let arr=[1,2,3;",error
for(let i=0;i<5;i++){ console.log(i); },no_error
const name = ,error
h1{color:red;,error
alert('Welcome');,no_error
for(let i=0;i<5;i++){ console.log(i); },no_error
for(let i=0;i<5;i++ { console.log(i); },error
<h2>Heading</h2>,no_error
<table><tr><td>Data</tr></table>,error
<p>Welcome</p>,no_error
document.write('Hello');,no_error
<button>Click</button>,no_error
<h2>Heading</h2>,no_error
document.write('Hello');,no_error
body{background:white;},no_error
<section><p>Paragraph</section>,error
<section><p>Paragraph</p></section>,no_error
"let arr=[1,2,3;",error
function greet(){ return 'Hi'; },no_error
<h2>Heading</h2>,no_error
<section><p>Paragraph</section>,error
<button>Click,error
<ul><li>Item</ul>,error
<div>Content,error
<button>Click</button>,no_error
<div>Content,error
h1{color:red;},no_error
body{background:white;,error
alert('Welcome',error
console.log('Hello');,no_error
body{background:white;},no_error
body{background:white;,error
alert('Welcome',error
#title{text-align:center;,error
alert('Welcome',error
<span>Text,error
<div>Content,error
let x = 10;,no_error
<div>Content,error
console.log('Hello',error
const name = ,error
<div>Content</div>,no_error
<h2>Heading,error
<h2>Heading,error
<p>Welcome,error
<p>Welcome,error
alert('Welcome',error
<div>Content,error
<span>Text</span>,no_error
<h1>Hello</h1>,no_error
"let arr=[1,2,3;",error
alert('Welcome',error
<h1>Hello,error
<h2>Heading</h2>,no_error
for(let i=0;i<5;i++ { console.log(i); },error
<div>Content</div>,no_error
document.write('Hello');,no_error
<p>Welcome</p>,no_error
h1{color:red;},no_error
<table><tr><td>Data</tr></table>,error
h1{color:red;},no_error
const name = 'John';,no_error
<div>Content</div>,no_error
<div>Content</div>,no_error
<div>Content,error
<h2>Heading,error
<button>Click,error
if(true){ console.log('ok'); },no_error
<section><p>Paragraph</p></section>,no_error
console.log('Hello');,no_error
<h2>Heading,error
<section><p>Paragraph</p></section>,no_error
<h1>Hello,error
let x = 10;,no_error
#title{text-align:center;},no_error
for(let i=0;i<5;i++ { console.log(i); },error
<ul><li>Item</ul>,error
.box{padding:10px;,error
body{background:white;},no_error
<div>Content,error
<button>Click,error
<button>Click,error
<h1>Hello</h1>,no_error
